user_id,target_r,target_g,target_b,achieved_r,achieved_g,achieved_b,tL,ta,tb,aL,aa,ab,tC,aC,delta_e_stored,delta_e_recon,skip_perception,mixing_model
J0S90R,208,176,148,213,170,138,73.93316011294016,7.415254702891949,18.655562937497415,72.71523101218308,11.312047936508197,22.47881976349655,20.075259172017887,25.16465311657648,3.446843928611256,3.446843928611214,acceptable,
0TFA3Q,180,57,33,182,56,37,42.37147729797363,48.54892060211874,41.49847843249223,42.62645896217122,49.76517377070305,39.786989795717645,63.86799984219681,63.714810502996954,1.2664742033490333,1.2664742033490513,acceptable,
0TFA3Q,203,75,44,202,75,50,49.391055360423195,49.24478569025431,44.178472657557876,49.27945591277191,49.12322871236346,40.873748755701946,66.15728504128373,63.9042638363937,1.5492106687340803,1.5492106687341098,unacceptable,
0TFA3Q,178,125,107,181,125,108,57.26508560854214,18.26617572382183,18.038394249611443,57.631624513891424,19.602624362257735,18.023873852761895,25.671712889442208,26.62936181263183,0.9679512981708526,0.9679512981708526,acceptable,
0TFA3Q,185,119,52,185,118,57,55.844443531699866,19.919659351233797,46.105127453851956,55.65311133198824,20.745483485307247,43.47289474949165,50.22425316722121,48.169156759689436,1.4410657425097866,1.4410657425097866,unacceptable,
J4W7CV,172,115,104,174,115,101,54.061990584993154,21.090409675429576,15.260711480204892,54.239818973822,21.548239825324444,17.283103944482782,26.032569891570652,27.62303968656409,1.255468907362744,1.2554689073627565,acceptable,
J4W7CV,80,62,41,82,62,42,27.60312812375011,4.6397760176526415,15.887421040457694,27.862814116017148,5.7300559715832975,15.638805853893222,16.551062467731864,16.65550329390386,1.3119616166162291,1.3119616166162595,acceptable,
J4W7CV,255,131,82,255,131,75,68.09890261547581,43.488640907712764,47.38720241262939,68.024406253039,43.13588229836823,50.81069890189788,64.3180288915596,66.65156760765649,1.6464717457021012,1.6464717457021012,identical,
J4W7CV,205,87,91,206,88,77,52.457573436188554,47.141216164510894,21.454815590734665,52.553246768968364,46.01477206611515,29.77074659140948,51.793854592041846,54.80562563192259,4.803439215294003,4.803439215294056,unacceptable,
J4W7CV,208,176,148,212,176,146,73.93316011294016,7.415254702891949,18.655562937497415,74.26932757891807,8.70568029013874,20.26071803229903,20.075259172017887,22.051883468276294,1.264147092842582,1.2641470928425407,unacceptable,
J4W7CV,225,155,151,225,156,143,70.65458361675861,25.65017540122816,12.693816205482268,70.71211097506509,24.1304555706387,17.19328184163571,28.61930236697489,29.62917188401472,3.448271394762711,3.448271394762711,acceptable,
J4W7CV,228,183,190,231,183,189,78.50851672201486,17.273608535633866,2.6249551813476657,78.77079623256117,18.20251425314273,3.5825430373100042,17.471918656701877,18.551715277840014,0.8753917440833558,0.8753917440833558,identical,
J4W7CV,190,89,43,189,88,57,49.82046775800619,37.69155945029884,44.42651602746188,49.612402343766334,38.46446917060204,36.86665771563026,58.261213342443696,53.2791313714632,3.950540628393892,3.9505406283938966,identical,
J4W7CV,174,121,123,175,121,124,56.192527172914,20.994274386189616,7.248276098182882,56.332509352396784,21.525628440570433,6.88338439747167,22.210291835050405,22.599417260735976,0.457970452537869,0.45797045253786905,identical,
J4W7CV,178,125,107,180,125,103,57.26508560854214,18.26617572382183,18.038394249611443,57.41611672857246,18.6205168894355,20.56259747671243,25.671712889442208,27.74065724201669,1.512180712047763,1.512180712047763,acceptable,
J4W7CV,88,71,52,87,71,50,31.415219334100783,4.179819210755026,14.155513672843478,31.261693900196995,3.4400029346992325,15.184021920440028,14.759724115872066,15.568819540066055,1.2334066891105986,1.233406689110578,identical,
J4W7CV,80,62,41,80,61,43,27.60312812375011,4.6397760176526415,15.887421040457694,27.345913902921005,5.534539577534304,14.27855591648518,16.551062467731864,15.313663421777544,1.6774699699491502,1.6774699699491502,identical,
WQC2HV,225,155,151,180,134,133,70.65458361675861,25.65017540122816,12.693816205482268,60.291486127853176,17.46756750309897,7.430837992032524,28.61930236697489,18.982446305446334,9.832046204783744,9.832046204783744,,
WQC2HV,225,155,151,77,0,151,70.65458361675861,25.65017540122816,12.693816205482268,23.040319226665403,56.58748884172476,-62.186862382302934,28.61930236697489,84.07942522619793,55.73057753151452,55.73057753151452,,
WQC2HV,225,155,151,224,81,86,70.65458361675861,25.65017540122816,12.693816205482268,54.4569701721292,55.926212023167835,27.583059574980105,28.61930236697489,62.35837046281136,17.666499717621996,17.666499717621996,,
WQC2HV,225,155,151,225,152,168,70.65458361675861,25.65017540122816,12.693816205482268,70.3810729846283,29.53078940075504,2.866761180419619,28.61930236697489,29.669611428148283,7.143300060566726,7.143300060566726,,
WQC2HV,225,155,151,224,156,150,70.65458361675861,25.65017540122816,12.693816205482268,70.75256896345589,24.608763328914705,13.36889694391723,28.61930236697489,28.005689387615806,0.8484244992529953,0.8484244992529953,acceptable,
WQC2HV,102,66,103,101,66,98,33.35183632842266,22.336384539983793,-15.366642317958224,33.01738061845194,20.917261111525143,-12.715112198345203,27.111764428861715,24.47868237108013,1.5717117939077678,1.5717117939077678,acceptable,
WQC2HV,53,94,70,255,102,30,36.374378738702966,-20.488174290578282,9.334392268407354,62.390544441822485,55.320042343904305,64.74595227513534,22.51435463835497,85.16070350194077,53.8376708809408,53.8376708809408,,
WQC2HV,255,173,59,255,171,25,76.96084570696759,20.890258342526447,66.9294588837105,76.35067374870509,21.053040876152284,76.4785907544932,70.11387423387606,79.32342260597554,2.644909333473799,2.644909333473799,,
WQC2HV,102,66,103,102,69,99,33.35183632842266,22.336384539983793,-15.366642317958224,33.94576836274887,19.64840969760026,-11.925059695182473,27.111764428861715,22.98406083307337,2.2326647987676154,2.2326647987676154,acceptable,
WQC2HV,102,66,103,114,58,97,33.35183632842266,22.336384539983793,-15.366642317958224,32.847632398581815,30.197958594701312,-12.175592988202165,27.111764428861715,32.56012542822359,4.774520039665817,4.774520039665817,,
